Time [ms],Column 0,Column 1
631,0.41,1.05
663,0.41,1.05
694,0.41,1.09
726,0.41,1.07
757,0.41,1.09
826,0.41,1.07
924,0.41,1.07
1026,0.41,1.09
1125,0.42,1.1
1227,0.42,1.1
1330,0.41,1.09
1428,0.41,1.07
1530,0.41,1.07
1633,0.41,1.07
1731,0.4,1.04
1833,0.41,1.07
1932,0.4,1.04
2034,0.41,1.09
2137,0.41,1.09
2235,0.41,1.09
2337,0.41,1.09
2439,0.4,1.04
2538,0.4,1.04
2640,0.41,1.09
2739,0.41,1.05
2841,0.41,1.07
2943,0.41,1.07
3042,0.41,1.09
3144,0.41,1.09
3242,0.41,1.05
3345,0.41,1.07
3447,0.41,1.05
3546,0.41,1.05
3648,0.41,1.05
3750,0.41,1.05
3849,0.41,1.07
3951,0.41,1.05
4049,0.41,1.05
4152,0.41,1.09
4254,0.41,1.07
4353,0.41,1.07
4455,0.41,1.07
4557,0.41,1.07
4656,0.41,1.09
4758,0.41,1.07
4856,0.41,1.07
4958,0.42,1.12
5061,0.41,1.09
5159,0.42,1.1
5262,0.41,1.07
5364,0.41,1.05
5462,0.4,1.04
5565,0.42,1.1
5663,0.41,1.09
5765,0.41,1.09
5868,0.41,1.05
5966,0.41,1.07
6069,0.41,1.09
6167,0.41,1.07
6269,0.41,1.07
6372,0.41,1.07
6470,0.41,1.05
6572,0.41,1.07
6675,0.41,1.09
6773,0.41,1.07
6875,0.41,1.09
6974,0.41,1.07
7076,0.41,1.05
7179,0.41,1.07
7277,0.4,1.02
7379,0.41,1.09
7482,0.41,1.09
7580,0.41,1.07
7683,0.41,1.07
7781,0.41,1.05
7883,0.41,1.07
7986,0.41,1.07
8083,0.41,1.05
8186,0.41,1.09
8284,0.41,1.05
8387,0.41,1.07
8489,0.41,1.07
8587,0.41,1.07
8690,0.42,1.1
8792,0.41,1.09
8890,0.41,1.09
8993,0.41,1.09
9091,0.41,1.09
9193,0.41,1.05
9296,0.41,1.07
9394,0.41,1.05
9497,0.41,1.07
9599,0.41,1.05
9697,0.41,1.07
9800,0.41,1.05
9898,0.41,1.05
10000,0.41,1.05
10103,0.41,1.07
10201,0.41,1.07
10303,0.41,1.07
10406,0.41,1.05
10505,0.41,1.05
10607,0.41,1.09
10705,0.4,1.04
10807,0.41,1.07
10910,0.41,1.07
11008,0.41,1.07
11110,0.41,1.09
11209,0.41,1.09
11311,0.41,1.07
11414,0.41,1.09
11512,0.41,1.07
11614,0.41,1.07
11717,0.41,1.09
11815,0.41,1.05
11918,0.41,1.05
12016,0.4,1.04
12118,0.41,1.07
12220,0.4,1.04
12319,0.42,1.1
12421,0.44,1.22
12523,0.67,2.44
12622,1.2,5.22
12724,1.49,6.73
12822,0.77,2.95
12925,0.7,2.61
13027,0.72,2.68
13125,0.7,2.61
13228,0.69,2.54
13330,0.67,2.44
13429,0.67,2.44
13531,0.67,2.44
13629,0.67,2.44
13732,0.69,2.53
13834,0.67,2.46
13932,0.67,2.44
14035,0.67,2.44
14133,0.67,2.43
14235,0.68,2.48
14338,0.46,1.32
14436,0.43,1.17
14538,0.43,1.16
14641,0.43,1.16
14739,0.43,1.16
14842,0.42,1.12
14940,0.42,1.1
15042,0.42,1.12
15145,0.42,1.14
15243,0.42,1.14
15345,0.42,1.12
15448,0.42,1.14
15546,0.42,1.12
15649,0.42,1.14
15747,0.42,1.14
15849,0.42,1.14
15952,0.42,1.12
16050,0.42,1.12
16153,0.42,1.1
16255,0.42,1.12
16353,0.42,1.1
16455,0.43,1.16
16554,0.42,1.12
16656,0.42,1.14
16758,0.42,1.14
16857,0.42,1.14
16959,0.42,1.12
17062,0.42,1.14
17160,0.42,1.14
17262,0.42,1.14
17360,0.43,1.17
17463,0.42,1.12
17565,0.42,1.12
17664,0.42,1.12
17766,0.42,1.14
17868,0.42,1.1
17967,0.42,1.12
18069,0.42,1.1
18167,0.42,1.12
18270,0.42,1.1
18372,0.42,1.1
18471,0.33,0.63
18573,0.33,0.65
18675,0.33,0.66
18774,0.33,0.65
18876,0.38,0.92
18975,0.39,0.95
19077,0.4,1.04
19179,0.41,1.09
19277,0.41,1.07
19380,0.39,0.99
19478,0.4,1
19581,0.41,1.07
19683,0.41,1.05
19781,0.42,1.1
19884,0.4,1.02
19986,0.39,0.99
20084,0.39,0.97
20187,0.4,1.02
20285,0.4,1.04
20387,0.41,1.07
20490,0.41,1.07
20588,0.4,1.04
20690,0.41,1.05
20793,0.41,1.05
20891,0.41,1.09
20994,0.41,1.05
21092,0.4,1.04
21194,0.4,1
21297,0.4,1.02
21395,0.4,1
21497,0.4,1.04
21596,0.4,1.02
21698,0.4,1.04
21801,0.41,1.05
21899,0.4,1.04
22001,0.4,1.04
22104,0.41,1.05
22202,0.41,1.07
22305,0.41,1.05
22403,0.4,1.02
22505,0.4,1
22607,0.4,1.04
22706,0.4,1
22808,0.4,1.04
22910,0.41,1.05
23009,0.4,1.02
23111,0.4,1.02
23209,0.4,1.04
23312,0.41,1.05
23414,0.41,1.09
23513,0.42,1.1
23615,0.4,1.04
23717,0.41,1.05
23816,0.4,1.04
23918,0.4,1.04
24016,0.41,1.05
24119,0.4,1
24221,0.39,0.99
24319,0.39,0.99
24422,0.4,1.02
24521,0.41,1.05
24623,0.41,1.05
24725,0.4,1.02
24824,0.4,1.02
24926,0.41,1.05
25028,0.41,1.09
25127,0.41,1.05
25229,0.41,1.05
25327,0.4,1.04
25430,0.4,1.02
25532,0.4,1.04
25630,0.41,1.05
25733,0.4,1.04
25835,0.41,1.05
25933,0.4,1.04
26035,0.4,1.04
26134,0.4,1.02
26236,0.41,1.07
26339,0.4,1.04
26437,0.41,1.07
26539,0.4,1.04
26638,0.4,1.02
26740,0.4,1.04
26843,0.4,1.02
26941,0.41,1.05
27043,0.4,1.04
27145,0.4,1
27244,0.4,1.02
27346,0.4,1.04
27445,0.4,1.04
27547,0.4,1.02
27650,0.41,1.05
27748,0.41,1.05
27850,0.41,1.05
27952,0.4,1.04
28051,0.41,1.05
28153,0.4,1.02
28251,0.4,1.04
28354,0.4,1.04
28456,0.4,1.02
28554,0.4,1.02
28657,0.4,1.02
28755,0.4,1.02
28858,0.4,1
28960,0.4,1.02
29059,0.4,1.02
29161,0.41,1.05
29263,0.4,1.04
29361,0.41,1.07
29464,0.41,1.05
29562,0.4,1.04
29665,0.41,1.05
29767,0.4,1.04
29865,0.4,1.02
29967,0.4,1.02
30070,0.41,1.05
30168,0.4,1.02
30271,0.4,1
30369,0.4,1.02
30471,0.4,1.04
30574,0.4,1.04
30672,0.4,1.04
30774,0.4,1.02
30877,0.4,1.02
30976,0.41,1.05
31077,0.4,1.04
31176,0.4,1.04
31278,0.41,1.05
31381,0.41,1.07
31479,0.4,1.04
31582,0.4,1.04
31680,0.4,1.02
31782,0.4,1.02
31884,0.4,1.04
31983,0.4,1.04
32085,0.4,1.04
32187,0.4,1.04
32286,0.4,1.04
32388,0.41,1.05
32486,0.4,1.04
32589,0.4,1.04
32691,0.4,1.04
32789,0.4,1.04
32892,0.4,1.04
32994,0.4,1
33092,0.4,1.02
33195,0.4,1.02
33293,0.4,1.02
33396,0.41,1.07
33498,0.4,1.04
33596,0.4,1.04
33699,0.41,1.05
33797,0.4,1.04
33900,0.41,1.05
34002,0.41,1.05
34100,0.4,1
34203,0.4,1.04
34305,0.4,1
34404,0.4,1.02
34506,0.4,1.02
34605,0.4,1.04
34707,0.4,1.02
34809,0.41,1.05
34907,0.4,1.02
35009,0.4,1.04
35112,0.4,1.02
35210,0.4,1.02
35313,0.4,1.04
35411,0.4,1.04
35513,0.4,1
35616,0.4,1.02
35714,0.4,1.04
35816,0.41,1.05
35915,0.4,1.04
36017,0.4,1.04
36119,0.41,1.07
36218,0.4,1.04
36320,0.41,1.07
36423,0.41,1.05
36521,0.03,-0.93
36623,0.39,0.95
36722,0.4,1
36824,0.39,0.99
36926,0.39,0.97
37025,0.39,0.99
37127,0.35,0.78
37230,0,-1.08
37328,0,-1.08
37430,0,-1.08
37533,0,-1.08
37631,0,-1.08
37733,0,-1.08
37836,0,-1.08
37934,0,-1.08
38036,0,-1.08
38134,0,-1.08
38237,0,-1.08
38339,0,-1.08
38438,0,-1.08
38540,0,-1.08
38639,0,-1.08
38741,0,-1.08
38843,0,-1.08
38941,0,-1.08
39044,0,-1.08
39146,0,-1.08
39245,0,-1.08
39347,0,-1.08
39445,0,-1.08
39548,0,-1.08
39650,0,-1.08
39748,0,-1.08
39851,0,-1.08
39949,0,-1.08
40051,0,-1.08
40154,0,-1.08
40252,0,-1.08
40355,0,-1.08
