current (A)	voltage (V)	ambient temperature Â©
0.02	0.581	30.2
0.03	0.571	30.3
0.04	0.559	30
0.05	0.554	29.1
0.06	0.544	29.8
0.07	0.534	29.9
0.08	0.525	30.1
0.09	0.519	30.1
0.1	0.507	29.5
0.11	0.488	30
0.12	0.483	29.8
0.13	0.478	30.1
0.14	0.467	30
0.15	0.458	30.2
0.16	0.446	30.1
0.17	0.435	29.9
0.18	0.427	30.2
0.19	0.418	30.1
0.2	0.404	30
0.21	0.393	30
0.22	0.382	29.6
0.23	0.368	29.7
0.24	0.36	30.1
0.25	0.341	30.4
0.26	0.333	30.3
0.27	0.311	30.3
0.28	0.303	30.3
0.29	0.294	29.4
0.3	0.276	29.7
0.31	0.2863	29.8
0.32	0.249	29.7
0.33	0.227	30.4
0.34	0.207	30
0.35	0.204	29.6
0.36	0.181	30.3
0.37	0.151	30.4
0.38	0.125	30.4
0.39	0.026	30.4
